CustomerID,Name,Gender,Age,City,LoyaltyLevel
C00001,Leah Smith,Male,38,New Susan,Gold
C00002,Amy Jones,Female,23,West Richardview,Bronze
C00003,Gary Palmer,Female,49,Lake Erinmouth,Gold
C00004,John Ryan,Other,58,New Kathleen,Platinum
C00005,Sonya Johnston,Male,65,Thompsonmouth,Bronze
C00006,John Russell,Female,60,Jacksonshire,Platinum
C00007,Matthew Gomez,Male,56,South Sophia,Silver
C00008,Scott Brown,Female,48,Port Heather,Silver
C00009,Maria Brown,Female,59,Alyssastad,Gold
C00010,Rebecca Rodriguez,Male,27,East Michellehaven,Platinum
C00011,Joshua Taylor,Female,47,New Jenniferstad,Platinum
C00012,Joel Baxter,Female,69,Anthonyfort,Bronze
C00013,Robert Chase,Other,35,Stephanieside,Platinum
C00014,Matthew Fernandez,Female,41,Alexismouth,Platinum
C00015,Brandon Molina,Female,69,Mejiaport,Bronze
C00016,Jason Olson,Female,26,Jeffreyborough,Bronze
C00017,Stephanie Martin,Other,48,Courtneyville,Platinum
C00018,James House,Male,32,Port Danielfort,Gold
C00019,Dominique Horton,Other,21,Martinborough,Bronze
C00020,Rachel Stanley,Other,57,Brandiview,Bronze
C00021,Mr. Daniel Brown,Male,26,North Maryborough,Platinum
C00022,Amy Edwards,Other,62,Parkermouth,Platinum
C00023,John Calhoun,Male,26,Shawnmouth,Bronze
C00024,Amy Romero,Other,43,Jamesborough,Platinum
C00025,Andrea Jones,Male,21,West Christine,Bronze
C00026,Jennifer David,Female,34,Port Robert,Gold
C00027,Lauren Williams,Other,33,East Laurenmouth,Gold
C00028,Matthew Cunningham,Other,32,Brandonview,Bronze
C00029,Dean Santiago,Other,52,Lake Michelle,Bronze
C00030,Derek Anderson,Other,69,West Stephanieland,Silver
C00031,Joyce Hickman,Female,22,Port Michaelmouth,Silver
C00032,Alexandra Howell,Other,22,Gilbertville,Platinum
C00033,Ariel Medina,Female,37,Hoffmanberg,Platinum
C00034,Brandi Bailey,Female,32,Smithstad,Bronze
C00035,David Mitchell,Female,35,East Megan,Bronze
C00036,Joshua Turner,Female,64,Richardberg,Silver
C00037,Dr. Kendra Contreras,Male,19,Angelachester,Silver
C00038,Tara Garcia,Male,46,Brownmouth,Bronze
C00039,Deborah Preston,Other,30,Sparksmouth,Gold
C00040,Brittney Campbell,Male,21,Ramirezburgh,Gold
C00041,Grant Watts,Male,59,South Janice,Platinum
C00042,Kathy King,Other,62,Tonyaview,Bronze
C00043,Amber Walters,Other,27,Jessicachester,Bronze
C00044,Amanda Cook,Other,48,Lauramouth,Platinum
C00045,William Martin,Male,58,Gregoryberg,Silver
C00046,Michael Hoffman,Male,25,Susanville,Silver
C00047,Tony Vazquez,Other,20,Port Heathermouth,Gold
C00048,Andrew Wood,Female,65,East Sarahtown,Bronze
C00049,Jessica Williams,Other,63,North Ericport,Silver
C00050,Timothy Stanton,Female,26,Danielleshire,Gold
C00051,Hunter Fleming,Female,47,North Susan,Gold
C00052,Heather Castro,Other,28,Lake Natalie,Gold
C00053,Valerie Brady,Other,52,Port Markmouth,Silver
C00054,Cynthia Martin,Other,54,East Adammouth,Silver
C00055,Cassandra Gutierrez,Male,59,Johnsonborough,Bronze
C00056,Tim Patton,Female,30,Petersburgh,Bronze
C00057,Michael Moss,Male,53,West Kevinhaven,Gold
C00058,Christopher Haynes,Male,30,Cruzfort,Gold
C00059,Andrew Ruiz,Other,29,South Sylvia,Silver
C00060,Thomas Bailey,Male,54,South Shane,Silver
C00061,Shelby Walker,Other,27,Ballport,Bronze
C00062,Jennifer Ramirez,Female,26,Hernandeztown,Bronze
C00063,Raymond Bell,Other,69,West Meghan,Platinum
C00064,Meghan Anthony,Male,24,West Keith,Bronze
C00065,Alexander Wiley,Male,19,New Jefferyburgh,Silver
C00066,Kevin Terrell,Other,40,Lake Dennisland,Gold
C00067,Kyle Reed,Other,56,East Catherine,Platinum
C00068,Jessica Joyce,Male,57,Lake Kevinland,Bronze
C00069,Steven Lee,Female,56,South Joannaland,Bronze
C00070,Jeffrey Meyer,Female,38,South Jose,Silver
C00071,Melissa Bentley,Other,40,East Jennifer,Platinum
C00072,Christina Reynolds,Female,46,Cooperside,Bronze
C00073,Tammie Hanson,Male,31,Port Thomas,Gold
C00074,Belinda Mccullough,Other,43,Lake Stephenburgh,Silver
C00075,Mary Nguyen,Male,68,Timothymouth,Platinum
C00076,Kristen Lee,Male,22,Juliestad,Bronze
C00077,Jamie Adkins,Female,48,Timothyfurt,Bronze
C00078,Keith Sullivan,Other,42,Port Ashley,Platinum
C00079,Elizabeth Clark,Other,48,West Douglasland,Silver
C00080,Lisa Morris,Female,67,Reyesside,Platinum
C00081,Michael Dixon,Male,37,Lake Curtis,Platinum
C00082,Toni Fitzgerald,Male,61,New Mistymouth,Silver
C00083,Diane Beck,Male,34,Lake Taylorland,Bronze
C00084,Anna Crane,Male,62,Mcdanielborough,Gold
C00085,Eric Drake,Other,19,Cobbborough,Silver
C00086,Angel Riggs,Other,42,Port Sara,Gold
C00087,Patricia Gibson,Female,30,Hunterberg,Bronze
C00088,Laura Higgins,Female,56,Lake Robert,Platinum
C00089,James Hernandez,Other,45,North Jessica,Gold
C00090,Stephanie Dalton,Other,59,Dianeshire,Bronze
